id,category_id,name_ja,name_en,name_zh,description_ja,description_en,description_zh,price,allergens,spicy_level,cooking_time,is_popular,tags
1,cat_appetizer,枝豆,Edamame,毛豆,塩茹でした新鮮な枝豆。ビールのお供に最適です。,Freshly boiled and salted soybeans. Perfect with beer.,新鲜盐水煮毛豆，配啤酒绝佳。,480,soy,0,5,true,vegetarian
2,cat_appetizer,冷奴,Chilled Tofu,冷豆腐,なめらかな絹ごし豆腐に生姜とネギを添えて。,Silky smooth tofu served with ginger and green onion.,滑嫩的绢豆腐配生姜和葱花。,380,soy,0,3,false,vegetarian
3,cat_appetizer,揚げ出し豆腐,Deep-fried Tofu in Broth,炸豆腐,カリッと揚げた豆腐を温かい出汁に浸して。,Crispy fried tofu served in warm dashi broth.,外酥里嫩的炸豆腐配温热高汤。,580,soy|wheat,0,10,true,
4,cat_appetizer,たこわさび,Octopus with Wasabi,芥末章鱼,新鮮なタコをわさびで和えた一品。,Fresh octopus marinated with wasabi.,新鲜章鱼配芥末调味。,680,seafood,1,5,false,
5,cat_appetizer,出し巻き玉子,Japanese Rolled Omelette,日式蛋卷,だしの風味が効いたふわふわの玉子焼き。,Fluffy rolled omelette with savory dashi flavor.,柔软的出汁风味蛋卷。,580,egg,0,10,true,
6,cat_appetizer,明太子,Spicy Cod Roe,明太子,ピリ辛の味付けが絶妙な明太子。ご飯のお供に。,Spicy seasoned cod roe. Perfect with rice.,辣味调味的鳕鱼子，配米饭绝佳。,780,fish,2,3,false,
7,cat_appetizer,茶碗蒸し,Chawanmushi,茶碗蒸,なめらかな卵の蒸し物。海老と銀杏入り。,Silky steamed egg custard with shrimp and ginkgo.,滑嫩的蒸蛋，配有虾和银杏。,680,egg|shrimp,0,15,true,
8,cat_appetizer,漬物盛り合わせ,Assorted Pickles,泡菜拼盘,季節の野菜を使った自家製漬物の盛り合わせ。,Assortment of homemade pickled seasonal vegetables.,自制时令蔬菜腌菜拼盘。,480,0,0,3,false,vegetarian
9,cat_appetizer,あさりの酒蒸し,Sake-steamed Clams,酒蒸蛤蜊,新鮮なあさりを日本酒で蒸し上げた一品。貝の旨味が凝縮。,Fresh clams steamed in sake. Rich umami flavor.,新鲜蛤蜊用日本酒蒸制，鲜味浓郁。,780,shellfish,0,10,true,
10,cat_appetizer,きんぴらごぼう,Kinpira Burdock Root,金平牛蒡,ごぼうとにんじんを甘辛く炒めた定番の副菜。,Burdock root and carrot sautéed in sweet soy sauce.,牛蒡和胡萝卜甜辣炒制的经典小菜。,420,soy|sesame,0,10,false,vegetarian
11,cat_appetizer,ほうれん草の胡麻和え,Spinach with Sesame Dressing,芝麻拌菠菜,茹でたほうれん草を香ばしい胡麻で和えて。,Blanched spinach dressed in fragrant sesame sauce.,焯菠菜拌香浓芝麻酱。,420,sesame|soy,0,5,false,vegetarian
12,cat_appetizer,ポテトサラダ,Japanese Potato Salad,日式土豆沙拉,手作りのクリーミーなポテトサラダ。,Homemade creamy potato salad.,手工制作的奶油土豆沙拉。,480,egg,0,5,true,
13,cat_appetizer,エビマヨ,Shrimp with Mayo Sauce,蛋黄酱虾,プリプリのエビを特製マヨソースで和えて。,Plump shrimp tossed in special mayo sauce.,弹嫩鲜虾配特制蛋黄酱。,880,shrimp|egg,0,10,true,
14,cat_appetizer,キムチ,Kimchi,韩式泡菜,ピリ辛の白菜キムチ。ご飯やお酒のお供に。,Spicy napa cabbage kimchi. Great with rice or drinks.,辣味大白菜泡菜，配饭配酒皆宜。,380,0,2,3,false,
15,cat_appetizer,もやしのナムル,Bean Sprout Namul,豆芽拌菜,シャキシャキのもやしをごま油で和えた一品。,Crisp bean sprouts dressed in sesame oil.,爽脆豆芽拌芝麻油。,320,sesame,0,5,false,vegetarian
16,cat_appetizer,春雨サラダ,Glass Noodle Salad,粉丝沙拉,つるっとした春雨とさっぱり中華ドレッシング。,Smooth glass noodles with refreshing Chinese dressing.,爽滑粉丝配清爽中式沙拉汁。,480,sesame|soy,0,5,false,
17,cat_appetizer,塩辛,Salted Squid,盐辛,イカの塩辛。日本酒との相性抜群。,Salted and fermented squid. Perfect with sake.,鱿鱼盐辛，配日本酒绝佳。,480,seafood,0,3,false,
18,cat_appetizer,冷しゃぶ,Cold Shabu-shabu Pork,冷涮猪肉,冷たい豚しゃぶをポン酢でさっぱりと。,Chilled sliced pork with refreshing ponzu sauce.,冷涮猪肉片配清爽柑橘酱油。,780,soy,0,10,false,
19,cat_appetizer,ニラ玉,Chive and Egg Stir-fry,韭菜炒蛋,ニラと卵をふんわり炒めた定番おつまみ。,Fluffy stir-fried chives and egg.,韭菜鸡蛋嫩滑炒制。,480,egg,0,8,false,
20,cat_appetizer,茄子の揚げ浸し,Deep-fried Eggplant in Broth,炸茄子浸汁,揚げた茄子を冷たいだしに浸した一品。,Deep-fried eggplant soaked in chilled dashi broth.,炸茄子浸入冰镇高汤。,520,soy,0,10,false,vegetarian
21,cat_appetizer,バンバンジー,Bang Bang Chicken,棒棒鸡,蒸し鶏に濃厚なゴマだれをかけて。,Steamed chicken with rich sesame sauce.,蒸鸡肉配浓郁芝麻酱。,680,sesame,0,10,false,
22,cat_appetizer,シュウマイ（4個）,Shumai Dumplings (4 pcs),烧卖（4个）,ジューシーな豚肉のシュウマイ。,Juicy pork shumai dumplings.,多汁猪肉烧卖。,580,wheat,0,12,true,
23,cat_sashimi,刺身盛り合わせ（5種）,Assorted Sashimi (5 kinds),生鱼片拼盘（5种）,本日の新鮮な魚介5種類の盛り合わせ。,Chef's selection of 5 kinds of fresh sashimi.,今日新鲜海鲜5种拼盘。,1980,fish|seafood,0,5,true,
24,cat_sashimi,本マグロ刺身,Bluefin Tuna Sashimi,蓝鳍金枪鱼刺身,最高級の本マグロを贅沢に。脂のりも抜群。,Premium bluefin tuna sashimi. Exquisite fat marbling.,最高级蓝鳍金枪鱼，油脂丰富。,2480,fish,0,5,true,
